,subject_id,game_difficulty,game_status,count,score,percentage
0,AL09OL,easy,won,14.0,15380.0,0.7
60,AL09OL,easy,timed_out,1.0,15380.0,0.05
120,AL09OL,easy,lost,5.0,15380.0,0.25
180,AL09OL,normal,won,13.0,15380.0,0.65
240,AL09OL,normal,timed_out,2.0,15380.0,0.1
300,AL09OL,normal,lost,5.0,15380.0,0.25
360,AL09OL,hard,won,6.0,15380.0,0.3
420,AL09OL,hard,timed_out,2.0,15380.0,0.1
480,AL09OL,hard,lost,12.0,15380.0,0.6
540,AN06AN,easy,won,19.0,17543.0,0.95
600,AN06AN,easy,timed_out,0.0,17543.0,0.0
660,AN06AN,easy,lost,1.0,17543.0,0.05
720,AN06AN,normal,won,13.0,17543.0,0.65
780,AN06AN,normal,timed_out,2.0,17543.0,0.1
840,AN06AN,normal,lost,5.0,17543.0,0.25
900,AN06AN,hard,won,6.0,17543.0,0.3
960,AN06AN,hard,timed_out,3.0,17543.0,0.15
1020,AN06AN,hard,lost,11.0,17543.0,0.55
1080,BE09KE,easy,won,17.0,18270.0,0.85
1140,BE09KE,easy,timed_out,0.0,18270.0,0.0
1200,BE09KE,easy,lost,3.0,18270.0,0.15
1260,BE09KE,normal,won,10.0,18270.0,0.5
1320,BE09KE,normal,timed_out,2.0,18270.0,0.1
1380,BE09KE,normal,lost,8.0,18270.0,0.4
1440,BE09KE,hard,won,11.0,18270.0,0.55
1500,BE09KE,hard,timed_out,2.0,18270.0,0.1
1560,BE09KE,hard,lost,7.0,18270.0,0.35
1620,ED06RA,easy,won,18.0,18259.0,0.9
1680,ED06RA,easy,timed_out,0.0,18259.0,0.0
1740,ED06RA,easy,lost,2.0,18259.0,0.1
1800,ED06RA,normal,won,7.0,18259.0,0.35
1860,ED06RA,normal,timed_out,5.0,18259.0,0.25
1920,ED06RA,normal,lost,8.0,18259.0,0.4
1980,ED06RA,hard,won,10.0,18259.0,0.5
2040,ED06RA,hard,timed_out,3.0,18259.0,0.15
2100,ED06RA,hard,lost,7.0,18259.0,0.35
2160,GE01IN,easy,won,16.0,17516.0,0.8
2220,GE01IN,easy,timed_out,0.0,17516.0,0.0
2280,GE01IN,easy,lost,4.0,17516.0,0.2
2340,GE01IN,normal,won,15.0,17516.0,0.75
2400,GE01IN,normal,timed_out,2.0,17516.0,0.1
2460,GE01IN,normal,lost,3.0,17516.0,0.15
2520,GE01IN,hard,won,8.0,17516.0,0.4
2580,GE01IN,hard,timed_out,0.0,17516.0,0.0
2640,GE01IN,hard,lost,12.0,17516.0,0.6
2700,JA06LU,easy,won,13.0,14278.0,0.65
2760,JA06LU,easy,timed_out,1.0,14278.0,0.05
2820,JA06LU,easy,lost,6.0,14278.0,0.3
2880,JA06LU,normal,won,13.0,14278.0,0.65
2940,JA06LU,normal,timed_out,0.0,14278.0,0.0
3000,JA06LU,normal,lost,7.0,14278.0,0.35
3060,JA06LU,hard,won,8.0,14278.0,0.4
3120,JA06LU,hard,timed_out,4.0,14278.0,0.2
3180,JA06LU,hard,lost,8.0,14278.0,0.4
3240,JO03SA,easy,won,19.0,24119.0,0.95
3300,JO03SA,easy,timed_out,0.0,24119.0,0.0
3360,JO03SA,easy,lost,1.0,24119.0,0.05
3420,JO03SA,normal,won,14.0,24119.0,0.7
3480,JO03SA,normal,timed_out,2.0,24119.0,0.1
3540,JO03SA,normal,lost,4.0,24119.0,0.2
3600,JO03SA,hard,won,13.0,24119.0,0.65
3660,JO03SA,hard,timed_out,2.0,24119.0,0.1
3720,JO03SA,hard,lost,5.0,24119.0,0.25
3780,KR07HA,easy,won,16.0,17346.909,0.8
3840,KR07HA,easy,timed_out,1.0,17346.909,0.05
3900,KR07HA,easy,lost,3.0,17346.909,0.15
3960,KR07HA,normal,won,11.0,17346.909,0.55
4020,KR07HA,normal,timed_out,3.0,17346.909,0.15
4080,KR07HA,normal,lost,6.0,17346.909,0.3
4140,KR07HA,hard,won,8.0,17346.909,0.4
4200,KR07HA,hard,timed_out,0.0,17346.909,0.0
4260,KR07HA,hard,lost,12.0,17346.909,0.6
4320,MA03CL,easy,won,18.0,22514.0,0.9
4380,MA03CL,easy,timed_out,0.0,22514.0,0.0
4440,MA03CL,easy,lost,2.0,22514.0,0.1
4500,MA03CL,normal,won,14.0,22514.0,0.7
4560,MA03CL,normal,timed_out,1.0,22514.0,0.05
4620,MA03CL,normal,lost,5.0,22514.0,0.25
4680,MA03CL,hard,won,11.0,22514.0,0.55
4740,MA03CL,hard,timed_out,3.0,22514.0,0.15
4800,MA03CL,hard,lost,6.0,22514.0,0.3
4860,PA05OL,easy,won,14.0,11946.0,0.7
4920,PA05OL,easy,timed_out,0.0,11946.0,0.0
4980,PA05OL,easy,lost,6.0,11946.0,0.3
5040,PA05OL,normal,won,11.0,11946.0,0.55
5100,PA05OL,normal,timed_out,1.0,11946.0,0.05
5160,PA05OL,normal,lost,8.0,11946.0,0.4
5220,PA05OL,hard,won,4.0,11946.0,0.2
5280,PA05OL,hard,timed_out,5.0,11946.0,0.25
5340,PA05OL,hard,lost,11.0,11946.0,0.55
5400,PI10MA,easy,won,19.0,17521.0,0.95
5460,PI10MA,easy,timed_out,0.0,17521.0,0.0
5520,PI10MA,easy,lost,1.0,17521.0,0.05
5580,PI10MA,normal,won,12.0,17521.0,0.6
5640,PI10MA,normal,timed_out,1.0,17521.0,0.05
5700,PI10MA,normal,lost,7.0,17521.0,0.35
5760,PI10MA,hard,won,8.0,17521.0,0.4
5820,PI10MA,hard,timed_out,1.0,17521.0,0.05
5880,PI10MA,hard,lost,11.0,17521.0,0.55
5940,TI01NI,easy,won,15.0,16147.374,0.75
6000,TI01NI,easy,timed_out,0.0,16147.374,0.0
6060,TI01NI,easy,lost,5.0,16147.374,0.25
6120,TI01NI,normal,won,12.0,16147.374,0.6
6180,TI01NI,normal,timed_out,0.0,16147.374,0.0
6240,TI01NI,normal,lost,8.0,16147.374,0.4
6300,TI01NI,hard,won,7.0,16147.374,0.35
6360,TI01NI,hard,timed_out,0.0,16147.374,0.0
6420,TI01NI,hard,lost,13.0,16147.374,0.65
