subject_id,game_difficulty,game_status,count,score,percentage
AL09OL,easy,won,14.0,15380.0,0.7
AL09OL,easy,timed_out,1.0,15380.0,0.05
AL09OL,easy,lost,5.0,15380.0,0.25
AL09OL,normal,won,13.0,15380.0,0.65
AL09OL,normal,timed_out,2.0,15380.0,0.1
AL09OL,normal,lost,5.0,15380.0,0.25
AL09OL,hard,won,6.0,15380.0,0.3
AL09OL,hard,timed_out,2.0,15380.0,0.1
AL09OL,hard,lost,12.0,15380.0,0.6
AN06AN,easy,won,19.0,17543.0,0.95
AN06AN,easy,timed_out,0.0,17543.0,0.0
AN06AN,easy,lost,1.0,17543.0,0.05
AN06AN,normal,won,13.0,17543.0,0.65
AN06AN,normal,timed_out,2.0,17543.0,0.1
AN06AN,normal,lost,5.0,17543.0,0.25
AN06AN,hard,won,6.0,17543.0,0.3
AN06AN,hard,timed_out,3.0,17543.0,0.15
AN06AN,hard,lost,11.0,17543.0,0.55
BE09KE,easy,won,17.0,18270.0,0.85
BE09KE,easy,timed_out,0.0,18270.0,0.0
BE09KE,easy,lost,3.0,18270.0,0.15
BE09KE,normal,won,10.0,18270.0,0.5
BE09KE,normal,timed_out,2.0,18270.0,0.1
BE09KE,normal,lost,8.0,18270.0,0.4
BE09KE,hard,won,9.0,18270.0,0.45
BE09KE,hard,timed_out,2.0,18270.0,0.1
BE09KE,hard,lost,9.0,18270.0,0.45
ED06RA,easy,won,18.0,18259.0,0.9
ED06RA,easy,timed_out,0.0,18259.0,0.0
ED06RA,easy,lost,2.0,18259.0,0.1
ED06RA,normal,won,7.0,18259.0,0.35
ED06RA,normal,timed_out,5.0,18259.0,0.25
ED06RA,normal,lost,8.0,18259.0,0.4
ED06RA,hard,won,10.0,18259.0,0.5
ED06RA,hard,timed_out,3.0,18259.0,0.15
ED06RA,hard,lost,7.0,18259.0,0.35
GE01IN,easy,won,15.0,17516.0,0.75
GE01IN,easy,timed_out,0.0,17516.0,0.0
GE01IN,easy,lost,5.0,17516.0,0.25
GE01IN,normal,won,14.0,17516.0,0.7
GE01IN,normal,timed_out,2.0,17516.0,0.1
GE01IN,normal,lost,4.0,17516.0,0.2
GE01IN,hard,won,7.0,17516.0,0.35
GE01IN,hard,timed_out,0.0,17516.0,0.0
GE01IN,hard,lost,13.0,17516.0,0.65
JA06LU,easy,won,13.0,14278.0,0.65
JA06LU,easy,timed_out,1.0,14278.0,0.05
JA06LU,easy,lost,6.0,14278.0,0.3
JA06LU,normal,won,11.0,14278.0,0.55
JA06LU,normal,timed_out,0.0,14278.0,0.0
JA06LU,normal,lost,9.0,14278.0,0.45
JA06LU,hard,won,7.0,14278.0,0.35
JA06LU,hard,timed_out,4.0,14278.0,0.2
JA06LU,hard,lost,9.0,14278.0,0.45
JO03SA,easy,won,19.0,24119.0,0.95
JO03SA,easy,timed_out,0.0,24119.0,0.0
JO03SA,easy,lost,1.0,24119.0,0.05
JO03SA,normal,won,14.0,24119.0,0.7
JO03SA,normal,timed_out,2.0,24119.0,0.1
JO03SA,normal,lost,4.0,24119.0,0.2
JO03SA,hard,won,12.0,24119.0,0.6
JO03SA,hard,timed_out,2.0,24119.0,0.1
JO03SA,hard,lost,6.0,24119.0,0.3
KR07HA,easy,won,15.0,15804.626,0.75
KR07HA,easy,timed_out,1.0,15804.626,0.05
KR07HA,easy,lost,4.0,15804.626,0.2
KR07HA,normal,won,11.0,15804.626,0.55
KR07HA,normal,timed_out,3.0,15804.626,0.15
KR07HA,normal,lost,6.0,15804.626,0.3
KR07HA,hard,won,7.0,15804.626,0.35
KR07HA,hard,timed_out,0.0,15804.626,0.0
KR07HA,hard,lost,13.0,15804.626,0.65
MA03CL,easy,won,17.0,22514.0,0.85
MA03CL,easy,timed_out,0.0,22514.0,0.0
MA03CL,easy,lost,3.0,22514.0,0.15
MA03CL,normal,won,14.0,22514.0,0.7
MA03CL,normal,timed_out,1.0,22514.0,0.05
MA03CL,normal,lost,5.0,22514.0,0.25
MA03CL,hard,won,11.0,22514.0,0.55
MA03CL,hard,timed_out,3.0,22514.0,0.15
MA03CL,hard,lost,6.0,22514.0,0.3
PA05OL,easy,won,14.0,11946.0,0.7
PA05OL,easy,timed_out,0.0,11946.0,0.0
PA05OL,easy,lost,6.0,11946.0,0.3
PA05OL,normal,won,9.0,11946.0,0.45
PA05OL,normal,timed_out,1.0,11946.0,0.05
PA05OL,normal,lost,10.0,11946.0,0.5
PA05OL,hard,won,4.0,11946.0,0.2
PA05OL,hard,timed_out,5.0,11946.0,0.25
PA05OL,hard,lost,11.0,11946.0,0.55
PI10MA,easy,won,19.0,17521.0,0.95
PI10MA,easy,timed_out,0.0,17521.0,0.0
PI10MA,easy,lost,1.0,17521.0,0.05
PI10MA,normal,won,12.0,17521.0,0.6
PI10MA,normal,timed_out,1.0,17521.0,0.05
PI10MA,normal,lost,7.0,17521.0,0.35
PI10MA,hard,won,7.0,17521.0,0.35
PI10MA,hard,timed_out,1.0,17521.0,0.05
PI10MA,hard,lost,12.0,17521.0,0.6
TI01NI,easy,won,13.0,14139.078,0.65
TI01NI,easy,timed_out,0.0,14139.078,0.0
TI01NI,easy,lost,7.0,14139.078,0.35
TI01NI,normal,won,12.0,14139.078,0.6
TI01NI,normal,timed_out,0.0,14139.078,0.0
TI01NI,normal,lost,8.0,14139.078,0.4
TI01NI,hard,won,6.0,14139.078,0.3
TI01NI,hard,timed_out,0.0,14139.078,0.0
TI01NI,hard,lost,14.0,14139.078,0.7
